message,fraud
Urgent! Your bank account will be blocked today. Verify now using this link.,1
Your credit card statement is now available.,0
Congratulations! You won 50000. Click this link to claim your reward.,1
Payment received. Thank you for using your credit card.,0
Your card is suspended. Send your OTP immediately to reactivate it.,1
Your bank transfer was completed successfully.,0
Security alert! Confirm your PIN and password at this link now.,1
Your card ending 4821 was used for a purchase of 1200.,0
You have received a cash prize. Pay a small fee to release the money.,1
Your monthly credit card bill is due on 15 August.,0
Your credit card will be closed. Verify your details immediately.,1
Your transaction of 850 has been approved.,0
Unusual activity detected. Login through this link to secure your account.,1
Your account statement is ready to view in the official banking app.,0
Claim your instant loan by sharing your OTP and card details.,1
Your card payment of 2500 was successful.,0
Urgent! Your bank account will be blocked today. Verify now using this link.,1
Your credit card statement is now available.,0
Congratulations! You won 50000. Click this link to claim your reward.,1
Payment received. Thank you for using your credit card.,0
Your card is suspended. Send your OTP immediately to reactivate it.,1
Your bank transfer was completed successfully.,0
Security alert! Confirm your PIN and password at this link now.,1
Your card ending 4821 was used for a purchase of 1200.,0
You have received a cash prize. Pay a small fee to release the money.,1
Your monthly credit card bill is due on 15 August.,0
Your credit card will be closed. Verify your details immediately.,1
Your transaction of 850 has been approved.,0
Unusual activity detected. Login through this link to secure your account.,1
Your account statement is ready to view in the official banking app.,0
Claim your instant loan by sharing your OTP and card details.,1
Your card payment of 2500 was successful.,0
Urgent! Your bank account will be blocked today. Verify now using this link.,1
Your credit card statement is now available.,0
Congratulations! You won 50000. Click this link to claim your reward.,1
Payment received. Thank you for using your credit card.,0
Your card is suspended. Send your OTP immediately to reactivate it.,1
Your bank transfer was completed successfully.,0
Security alert! Confirm your PIN and password at this link now.,1
Your card ending 4821 was used for a purchase of 1200.,0
You have received a cash prize. Pay a small fee to release the money.,1
Your monthly credit card bill is due on 15 August.,0
Your credit card will be closed. Verify your details immediately.,1
Your transaction of 850 has been approved.,0
Unusual activity detected. Login through this link to secure your account.,1
Your account statement is ready to view in the official banking app.,0
Claim your instant loan by sharing your OTP and card details.,1
Your card payment of 2500 was successful.,0
Urgent! Your bank account will be blocked today. Verify now using this link.,1
Your credit card statement is now available.,0
Congratulations! You won 50000. Click this link to claim your reward.,1
Payment received. Thank you for using your credit card.,0
Your card is suspended. Send your OTP immediately to reactivate it.,1
Your bank transfer was completed successfully.,0
Security alert! Confirm your PIN and password at this link now.,1
Your card ending 4821 was used for a purchase of 1200.,0
You have received a cash prize. Pay a small fee to release the money.,1
Your monthly credit card bill is due on 15 August.,0
Your credit card will be closed. Verify your details immediately.,1
Your transaction of 850 has been approved.,0
Unusual activity detected. Login through this link to secure your account.,1
Your account statement is ready to view in the official banking app.,0
Claim your instant loan by sharing your OTP and card details.,1
Your card payment of 2500 was successful.,0
Urgent! Your bank account will be blocked today. Verify now using this link.,1
Your credit card statement is now available.,0
Congratulations! You won 50000. Click this link to claim your reward.,1
Payment received. Thank you for using your credit card.,0
Your card is suspended. Send your OTP immediately to reactivate it.,1
Your bank transfer was completed successfully.,0
Security alert! Confirm your PIN and password at this link now.,1
Your card ending 4821 was used for a purchase of 1200.,0
You have received a cash prize. Pay a small fee to release the money.,1
Your monthly credit card bill is due on 15 August.,0
Your credit card will be closed. Verify your details immediately.,1
Your transaction of 850 has been approved.,0
Unusual activity detected. Login through this link to secure your account.,1
Your account statement is ready to view in the official banking app.,0
Claim your instant loan by sharing your OTP and card details.,1
Your card payment of 2500 was successful.,0
Urgent! Your bank account will be blocked today. Verify now using this link.,1
Your credit card statement is now available.,0
Congratulations! You won 50000. Click this link to claim your reward.,1
Payment received. Thank you for using your credit card.,0
Your card is suspended. Send your OTP immediately to reactivate it.,1
Your bank transfer was completed successfully.,0
Security alert! Confirm your PIN and password at this link now.,1
Your card ending 4821 was used for a purchase of 1200.,0
You have received a cash prize. Pay a small fee to release the money.,1
Your monthly credit card bill is due on 15 August.,0
Your credit card will be closed. Verify your details immediately.,1
Your transaction of 850 has been approved.,0
Unusual activity detected. Login through this link to secure your account.,1
Your account statement is ready to view in the official banking app.,0
Claim your instant loan by sharing your OTP and card details.,1
Your card payment of 2500 was successful.,0
Urgent! Your bank account will be blocked today. Verify now using this link.,1
Your credit card statement is now available.,0
Congratulations! You won 50000. Click this link to claim your reward.,1
Payment received. Thank you for using your credit card.,0
Your card is suspended. Send your OTP immediately to reactivate it.,1
Your bank transfer was completed successfully.,0
Security alert! Confirm your PIN and password at this link now.,1
Your card ending 4821 was used for a purchase of 1200.,0
You have received a cash prize. Pay a small fee to release the money.,1
Your monthly credit card bill is due on 15 August.,0
Your credit card will be closed. Verify your details immediately.,1
Your transaction of 850 has been approved.,0
Unusual activity detected. Login through this link to secure your account.,1
Your account statement is ready to view in the official banking app.,0
Claim your instant loan by sharing your OTP and card details.,1
Your card payment of 2500 was successful.,0
Urgent! Your bank account will be blocked today. Verify now using this link.,1
Your credit card statement is now available.,0
Congratulations! You won 50000. Click this link to claim your reward.,1
Payment received. Thank you for using your credit card.,0
Your card is suspended. Send your OTP immediately to reactivate it.,1
Your bank transfer was completed successfully.,0
Security alert! Confirm your PIN and password at this link now.,1
Your card ending 4821 was used for a purchase of 1200.,0
You have received a cash prize. Pay a small fee to release the money.,1
Your monthly credit card bill is due on 15 August.,0
Your credit card will be closed. Verify your details immediately.,1
Your transaction of 850 has been approved.,0
Unusual activity detected. Login through this link to secure your account.,1
Your account statement is ready to view in the official banking app.,0
Claim your instant loan by sharing your OTP and card details.,1
Your card payment of 2500 was successful.,0
Urgent! Your bank account will be blocked today. Verify now using this link.,1
Your credit card statement is now available.,0
Congratulations! You won 50000. Click this link to claim your reward.,1
Payment received. Thank you for using your credit card.,0
Your card is suspended. Send your OTP immediately to reactivate it.,1
Your bank transfer was completed successfully.,0
Security alert! Confirm your PIN and password at this link now.,1
Your card ending 4821 was used for a purchase of 1200.,0
You have received a cash prize. Pay a small fee to release the money.,1
Your monthly credit card bill is due on 15 August.,0
Your credit card will be closed. Verify your details immediately.,1
Your transaction of 850 has been approved.,0
Unusual activity detected. Login through this link to secure your account.,1
Your account statement is ready to view in the official banking app.,0
Claim your instant loan by sharing your OTP and card details.,1
Your card payment of 2500 was successful.,0
Urgent! Your bank account will be blocked today. Verify now using this link.,1
Your credit card statement is now available.,0
Congratulations! You won 50000. Click this link to claim your reward.,1
Payment received. Thank you for using your credit card.,0
Your card is suspended. Send your OTP immediately to reactivate it.,1
Your bank transfer was completed successfully.,0
Security alert! Confirm your PIN and password at this link now.,1
Your card ending 4821 was used for a purchase of 1200.,0
You have received a cash prize. Pay a small fee to release the money.,1
Your monthly credit card bill is due on 15 August.,0
Your credit card will be closed. Verify your details immediately.,1
Your transaction of 850 has been approved.,0
Unusual activity detected. Login through this link to secure your account.,1
Your account statement is ready to view in the official banking app.,0
Claim your instant loan by sharing your OTP and card details.,1
Your card payment of 2500 was successful.,0
Urgent! Your bank account will be blocked today. Verify now using this link.,1
Your credit card statement is now available.,0
Congratulations! You won 50000. Click this link to claim your reward.,1
Payment received. Thank you for using your credit card.,0
Your card is suspended. Send your OTP immediately to reactivate it.,1
Your bank transfer was completed successfully.,0
Security alert! Confirm your PIN and password at this link now.,1
Your card ending 4821 was used for a purchase of 1200.,0
You have received a cash prize. Pay a small fee to release the money.,1
Your monthly credit card bill is due on 15 August.,0
Your credit card will be closed. Verify your details immediately.,1
Your transaction of 850 has been approved.,0
Unusual activity detected. Login through this link to secure your account.,1
Your account statement is ready to view in the official banking app.,0
Claim your instant loan by sharing your OTP and card details.,1
Your card payment of 2500 was successful.,0
Urgent! Your bank account will be blocked today. Verify now using this link.,1
Your credit card statement is now available.,0
Congratulations! You won 50000. Click this link to claim your reward.,1
Payment received. Thank you for using your credit card.,0
Your card is suspended. Send your OTP immediately to reactivate it.,1
Your bank transfer was completed successfully.,0
Security alert! Confirm your PIN and password at this link now.,1
Your card ending 4821 was used for a purchase of 1200.,0
You have received a cash prize. Pay a small fee to release the money.,1
Your monthly credit card bill is due on 15 August.,0
Your credit card will be closed. Verify your details immediately.,1
Your transaction of 850 has been approved.,0
Unusual activity detected. Login through this link to secure your account.,1
Your account statement is ready to view in the official banking app.,0
Claim your instant loan by sharing your OTP and card details.,1
Your card payment of 2500 was successful.,0
Urgent! Your bank account will be blocked today. Verify now using this link.,1
Your credit card statement is now available.,0
Congratulations! You won 50000. Click this link to claim your reward.,1
Payment received. Thank you for using your credit card.,0
Your card is suspended. Send your OTP immediately to reactivate it.,1
Your bank transfer was completed successfully.,0
Security alert! Confirm your PIN and password at this link now.,1
Your card ending 4821 was used for a purchase of 1200.,0
You have received a cash prize. Pay a small fee to release the money.,1
Your monthly credit card bill is due on 15 August.,0
Your credit card will be closed. Verify your details immediately.,1
Your transaction of 850 has been approved.,0
Unusual activity detected. Login through this link to secure your account.,1
Your account statement is ready to view in the official banking app.,0
Claim your instant loan by sharing your OTP and card details.,1
Your card payment of 2500 was successful.,0
Urgent! Your bank account will be blocked today. Verify now using this link.,1
Your credit card statement is now available.,0
Congratulations! You won 50000. Click this link to claim your reward.,1
Payment received. Thank you for using your credit card.,0
Your card is suspended. Send your OTP immediately to reactivate it.,1
Your bank transfer was completed successfully.,0
Security alert! Confirm your PIN and password at this link now.,1
Your card ending 4821 was used for a purchase of 1200.,0
You have received a cash prize. Pay a small fee to release the money.,1
Your monthly credit card bill is due on 15 August.,0
Your credit card will be closed. Verify your details immediately.,1
Your transaction of 850 has been approved.,0
Unusual activity detected. Login through this link to secure your account.,1
Your account statement is ready to view in the official banking app.,0
Claim your instant loan by sharing your OTP and card details.,1
Your card payment of 2500 was successful.,0
Urgent! Your bank account will be blocked today. Verify now using this link.,1
Your credit card statement is now available.,0
Congratulations! You won 50000. Click this link to claim your reward.,1
Payment received. Thank you for using your credit card.,0
Your card is suspended. Send your OTP immediately to reactivate it.,1
Your bank transfer was completed successfully.,0
Security alert! Confirm your PIN and password at this link now.,1
Your card ending 4821 was used for a purchase of 1200.,0
You have received a cash prize. Pay a small fee to release the money.,1
Your monthly credit card bill is due on 15 August.,0
Your credit card will be closed. Verify your details immediately.,1
Your transaction of 850 has been approved.,0
Unusual activity detected. Login through this link to secure your account.,1
Your account statement is ready to view in the official banking app.,0
Claim your instant loan by sharing your OTP and card details.,1
Your card payment of 2500 was successful.,0
Urgent! Your bank account will be blocked today. Verify now using this link.,1
Your credit card statement is now available.,0
Congratulations! You won 50000. Click this link to claim your reward.,1
Payment received. Thank you for using your credit card.,0
Your card is suspended. Send your OTP immediately to reactivate it.,1
Your bank transfer was completed successfully.,0
Security alert! Confirm your PIN and password at this link now.,1
Your card ending 4821 was used for a purchase of 1200.,0
You have received a cash prize. Pay a small fee to release the money.,1
Your monthly credit card bill is due on 15 August.,0
Your credit card will be closed. Verify your details immediately.,1
